countrycode,countryname,year,valuemon,valuemul,n
LKA,Sri Lanka,2016,4.0999999,2.3699999,1
BTN,Bhutan,2017,8.1999998,5.8000002,2
CZE,Czech Republic,2020,8.6000004,11.9,3
ISL,Iceland,2017,8.8000002,12.8,4
SVN,Slovenia,2020,11.7,15,5
DNK,Denmark,2020,12.3,15.9,6
FIN,Finland,2020,10.8,16,7
NOR,Norway,2019,12.7,16.1,8
NLD,Netherlands,2020,14.4,16.299999,9
DOM,Dominican Republic,2019,21,16.4,10
SVK,Slovak Republic,2019,11.4,16.4,11
AUT,Austria,2020,14.7,17.5,12
THA,Thailand,2017,7.9000001,17.610001,13
HUN,Hungary,2020,12.7,17.799999,14
SWE,Sweden,2020,15.7,17.9,15
FRA,France,2019,13.8,17.9,16
COL,Colombia,2020,42.5,18.1,17
POL,Poland,2019,14.8,18.200001,18
BEL,Belgium,2020,13.1,18.9,19
PAN,Panama,2017,20.700001,19.1,20
ARM,Armenia,2020,27,19.1,21
MLT,Malta,2019,16.9,20.1,22
LUX,Luxembourg,2019,17.4,20.6,23
CHL,Chile,2017,8.6000004,20.700001,24
CRI,Costa Rica,2019,23.9,20.715601,25
IRL,Ireland,2020,12.9,20.799999,26
CYP,Cyprus,2019,14.3,22.299999,27
EST,Estonia,2020,20.6,23.299999,28
HRV,Croatia,2019,18.299999,23.299999,29
DEU,Germany,2020,15.8,24,30
PSE,West Bank and Gaza,2016,29.200001,24,31
PRY,Paraguay,2020,26.9,24.93,32
ITA,Italy,2019,20,25.6,33
LVA,Latvia,2020,23.4,26,34
LTU,Lithuania,2019,20.9,26.299999,35
ESP,Spain,2020,21.700001,26.4,36
RWA,Rwanda,2016,38.200001,28.700001,37
GRC,Greece,2020,19.6,28.9,38
ROU,Romania,2020,22.6,30.4,39
MNE,Montenegro,2019,22.6,30.5,40
SRB,Serbia,2019,21.700001,31.700001,41
SYC,Seychelles,2018,25.299999,31.99,42
BGR,Bulgaria,2020,22.1,32.099998,43
ECU,Ecuador,2019,25,38.130001,44
TUR,Turkiye,2019,15,39.799999,45
MLI,Mali,2016,46.799999,39.799999,46
MKD,North Macedonia,2018,21.6,41.099998,47
NAM,Namibia,2015,17.4,43.299999,48
MEX,Mexico,2020,43.900002,43.900002,49
PAK,Pakistan,2010,36.799999,44.700001,50
GHA,Ghana,2016,23.4,45.599998,51
ALB,Albania,2019,21.799999,46.200001,52
AFG,Afghanistan,2016,54.5,51.700001,53
MOZ,Mozambique,2014,46.099998,53,54
GTM,Guatemala,2014,59.299999,61.619999,55
BDI,Burundi,2013,64.900002,64.800003,56
GNB,Guinea-Bissau,2010,48.700001,65.099998,57
