"iso3c","gdppc_need_baseline","ghgpc_need_baseline","ghgpc_need_energy"
"MLI",2217.6228,0.33594516,0.33594516
"MLI",2328.3347,0.35530424,0.33928835
"MLI",2444.574,0.37577888,0.34266478
"MLI",2566.6162,0.3974334,0.34607482
"MLI",2694.7512,0.42033574,0.34951881
"MLI",2829.2832,0.44455788,0.35299706
"MLI",2970.5315,0.47017583,0.35650992
"MLI",3118.8315,0.49727002,0.36005777
"MLI",3274.5352,0.52592552,0.3636409
"MLI",3438.0122,0.55623233,0.36725968
"MLI",3609.6506,0.58828562,0.37091449
"MLI",3789.8579,0.62218595,0.37460566
"MLI",3979.0618,0.65803981,0.37833357
"MLI",4177.7114,0.69595981,0.38209859
"MLI",4386.2783,0.73606497,0.38590103
"MLI",4605.2578,0.77848119,0.38974136
"MLI",4835.1694,0.82334173,0.39361989
"MLI",5076.5591,0.87078732,0.39753702
"MLI",5330,0.92096704,0.40149313
"MLI",5596.0938,0.97403842,0.40548861
"MLI",5875.4717,1.0301681,0.40952384
"MLI",6168.7974,1.0895331,0.41359976
"MLI",6476.7666,1.1523181,0.4177157
"MLI",6800.1108,1.2187213,0.42187265
"MLI",7139.5977,1.2889509,0.42607093
"MLI",7496.0332,1.3632275,0.43031099
"MLI",7870.2632,1.4417844,0.43459344
"MLI",8263.1758,1.5248682,0.43891847
"MLI",8675.7041,1.6127398,0.4432866
